No,Latitude,Longitude,Peso
1067749049,2.8369373,-60.6751807,0
1067749053,2.79691,-60.6852445,0
1067749056,2.835313,-60.6776699,0
1067749060,2.8271168,-60.6740154,0
1067749066,2.8229061,-60.6876395,0
1067749068,2.8257405,-60.6687025,0
1067749069,2.8269005,-60.6677062,0
1067749070,2.8222072,-60.6925829,0
1067749072,2.8327496,-60.6653907,0
1067749073,2.8356653,-60.6799847,0
1067749075,2.8403829,-60.6716618,0
1067749078,2.8308459,-60.6863446,0
1067749082,2.8231046,-60.6634266,0
1067749084,2.8188082,-60.6913958,0
1067749089,2.8008696,-60.6800195,0
1067749094,2.7951767,-60.6831544,0
1067749097,2.8040851,-60.6717986,0
1067749100,2.8312839,-60.6748804,0
1067749103,2.7953615,-60.6850755,0
1067749107,2.8236188,-60.6800299,0
1067749109,2.8386711,-60.6712259,0
1067749115,2.8110703,-60.6765841,0
1067749118,2.8347909,-60.6756196,0
1067749120,2.8302248,-60.6736418,0
1067749122,2.7979012,-60.6795944,0
1067749124,2.7987478,-60.6847268,0
1067749125,2.8355983,-60.6767459,0
1067749134,2.8242491,-60.6927327,0
1067749137,2.8350539,-60.6654383,0
1067749138,2.8397123,-60.6709294,0
1067749139,2.8336249,-60.6712343,0
1067749145,2.823093,-60.6785886,0
1067749148,2.8185836,-60.6895731,0
1067749149,2.8382039,-60.7364709,0
1067749151,2.8340204,-60.6807813,0
1067749152,2.8156281,-60.6744014,0
1067749158,2.8321184,-60.6750467,0
1067749164,2.829571,-60.6897787,0
1067749165,2.8330461,-60.6725743,0
1067749166,2.8365079,-60.6803775,0
1067749167,2.8339736,-60.6781306,0
1067749168,2.8254359,-60.6946947,0
1067749172,2.8260038,-60.6716009,0
1067749173,2.8409166,-60.6660825,0
1067749177,2.82419,-60.6917588,0
1067749180,2.8178718,-60.6871181,0
1067749183,2.8100269,-60.675646,0
1067749186,2.8248236,-60.672669,0
1067749188,2.8064655,-60.6824113,0
1067749190,2.7973708,-60.678834,0
1067749192,2.8185077,-60.673659,0
1067749194,2.824921,-60.6694477,0
1067749202,2.835774,-60.6666656,0
1067749204,2.8497507,-60.6429044,0
1067749207,2.8184933,-60.693177,0
1067749211,2.8370992,-60.6689869,0
1067749212,2.8349004,-60.6796025,0
1067749216,2.7997805,-60.6852458,0
1067749218,2.8329194,-60.6776887,0
1067749221,2.8324843,-60.6812529,0
1067749223,2.8199585,-60.6788384,0
1067749229,2.8396351,-60.674739,0
1067749230,2.8317055,-60.6702501,0
1067749235,2.8172694,-60.6777405,0
1067749241,2.8321652,-60.6858338,0
1067749245,2.8227106,-60.6775462,0
1067749247,2.8336105,-60.6789614,0
1067749248,2.8410942,-60.6692455,0
1067749249,2.8068513,-60.6766547,0
1426836602,2.8250312,-60.7085449,0
