Source,Target,Distancia
1673708473,1673708502,117.177
1673708473,1673708481,48.276
1673708473,1673708469,32.75
1673708481,1673708492,78.211
1673708481,1673708473,48.276
1673708481,1673708447,99.42699999999999
1673708482,3182709575,129.495
1673708482,1673708515,140.862
1673708482,1673708498,117.488
1673708482,3706984472,115.679
1673708492,1673708481,78.211
1673708492,1067748710,80.511
1673708498,1673708482,117.488
1673708498,3182709573,185.607
1673708498,1067748723,15.106
1673708502,1067748710,21.823
1673708502,1067749164,194.222
1673708502,1673708473,117.177
1673708513,1673708517,81.563
1673708513,6950098847,12.038
1673708513,1673708548,237.165
1673708515,1673708482,140.862
1673708515,1673708533,197.226
1673708515,6949991958,108.375
1673708515,1673708520,91.002
1673708517,6950098833,11.305
1673708517,1673708527,96.203
1673708517,1673708565,245.565
1673708520,1673708554,195.781
1673708520,1673708515,91.002
1673708520,3182709573,77.18
1673708527,6965825631,10.223
1673708527,1673621436,102.706
1673708527,1673708585,237.71200000000002
1673708533,6965825631,75.496
1673708533,1673708515,197.226
1673708536,1673708558,128.271
1673708536,7161057138,78.299
1673708539,1673708564,145.076
1673708539,6950201492,12.018
1673708539,6950201491,69.26
1673708548,10844616350,111.303
1673708548,3844714962,96.309
1673708548,1673708558,59.830999999999996
1673708548,1673708513,237.165
1673708550,1673708566,127.391
1673708550,1673708536,65.092
1673708554,6950098830,64.937
1673708554,6950531503,12.189
1673708554,1673708520,195.781
1673708558,1673708566,66.067
1673708558,1673708536,128.271
1673708558,1701116407,126.756
1673708558,1673708548,59.830999999999996
1673708560,1673708592,146.048
1673708560,6950201493,11.297
1673708560,1673708539,83.066
1673708562,1673708618,186.954
1673708562,1673708582,70.613
1673708563,1673708590,128.12
1673708563,1673708550,74.213
1673708564,1673708592,83.989
1673708564,1673708589,70.898
1673708564,1673708539,145.076
1673708565,1673708585,39.463
1673708565,1701116437,8.386
1673708565,1673708517,245.565
1673708566,1673708550,127.391
1673708566,1701116405,177.903
1673708566,1673708590,69.863
1673708566,1673708558,66.067
1673708579,1067749072,39.735
1673708579,1701116437,32.941
1673708582,1673708617,109.915
1673708582,1673621455,75.179
1673708585,1067748991,96.407
1673708585,1673708565,39.463
1673708585,1673708527,237.71200000000002
1673708586,6950201494,10.872
1673708586,1673708593,71.777
1673708586,1673708560,87.727
1673708589,1673708642,171.457
1673708589,1673708615,72.355
1673708589,1673708564,70.898
1673708590,1673708563,128.12
1673708590,1673708594,46.863
1673708590,1673708566,69.863
1673708590,1701116383,221.609
1673708591,1067748991,42.838
1673708591,1673621436,195.897
1673708591,1673708618,81.778
1673708592,1673708560,146.048
1673708592,1673708621,86.67
1673708592,1673708564,83.989
1673708593,1673708646,138.587
1673708593,1673708586,71.777
1673708593,1673708621,73.043
1673708594,1673708644,121.105
1673708594,1673708590,46.863
1673708594,1067748824,127.799
1673708594,1673708622,116.226
1673708613,1701116405,9.108
1673708613,1673708579,75.737
1673708615,1673708656,166.036
1673708615,9332311641,33.052
1673708615,1673708589,72.355
1673708617,1673708623,72.642
1673708617,1673708624,73.602
1673708617,1673708582,109.915
1673708618,1673708678,223.082
1673708618,1673708562,186.954
1673708618,1673708591,81.778
1673708618,1673708624,72.227
1673708620,1673708644,128.209
1673708620,1067748824,121.595
1673708621,1673708657,140.941
1673708621,1673708592,86.67
1673708621,1673708593,73.043
1673708621,1673708642,73.745
1673708622,4288031013,64.444
1673708622,1673708594,116.226
1673708622,6950098837,127.433
1673708623,1673708617,72.642
1673708623,1673708650,80.551
1673708623,1673708651,73.266
1673708623,1673621455,112.318
1673708624,1067749202,211.624
1673708624,1673708617,73.602
1673708624,1673708618,72.227
1673708624,1673708651,73.972
1673708642,3662488533,93.237
1673708642,1673708589,171.457
1673708642,1673708621,73.745
1673708642,1673708656,70.57
1673708644,1673708620,128.209
1673708644,1673708674,157.968
1673708644,1673708669,95.139
1673708644,1673708594,121.105
1673708646,1673708657,72.544
1673708646,1067749006,72.763
1673708646,1673708593,138.587
1673708648,1673708669,127.291
1673708648,1673708620,94.713
1673708650,1673708623,80.551
1673708650,1673621483,82.511
1673708651,1673708671,74.551
1673708651,1673708623,73.266
1673708651,1673708624,73.972
1673708651,1673621483,119.424
1673708655,6868896684,11.028
1673708655,1673708685,147.053
1673708655,1067749006,109.463
1673708656,1673708688,137.225
1673708656,1673708615,166.036
1673708656,1673708642,70.57
1673708656,1673621478,102.057
1673708657,1673708688,143.356
1673708657,1673708646,72.544
1673708657,1673708685,106.721
1673708657,1673708621,140.941
1673708669,1673708648,127.291
1673708669,1673708683,94.876
1673708669,1673708701,148.605
1673708669,1673708644,95.139
1673708671,1673708698,158.597
1673708671,1673708689,120.209
1673708671,1673708651,74.551
1673708674,1673708644,157.968
1673708674,6950098836,104.277
1673708674,1673708695,94.538
1673708674,4288031013,55.302
1673708678,1673708618,223.082
1673708678,1067749137,81.572
1673708678,1067749202,76.522
1673708680,1673708648,146.153
1673708680,1673708701,126.581
1673708683,1673708718,145.408
1673708683,1673708669,94.876
1673708683,1673708695,97.194
1673708685,1673708657,106.721
1673708685,1673708655,147.053
1673708685,1673708713,144.767
1673708685,1673708709,112.439
1673708688,1673621489,102.974
1673708688,1673708657,143.356
1673708688,1673708713,108.394
1673708688,1673708656,137.225
1673708689,1673708671,120.209
1673708689,3708013892,14.087
1673708689,1673708706,103.418
1673708695,1673708683,97.194
1673708695,6950098835,84.36
1673708695,1673708729,146.487
1673708695,1673708674,94.538
1673708698,1673708671,158.597
1673708698,1673621490,96.587
1673708701,1673708718,123.901
1673708701,1673708726,161.436
1673708701,1673708669,148.605
1673708701,1673708680,126.581
1673708706,1673708689,103.418
1673708706,1673621490,104.384
1673708706,1673708738,118.442
1673708709,1673708736,146.556
1673708709,3662476583,34.018
1673708709,1673708724,106.028
1673708709,1673708685,112.439
1673708713,1673708736,111.992
1673708713,1673708688,108.394
1673708713,1673708685,144.767
1673708713,1673621493,100.033
1673708718,1673708760,189.926
1673708718,1673708683,145.408
1673708718,1673708701,123.901
1673708718,1673708729,119.762
1673708722,6950098829,11.061
1673708722,1067748633,61.769
1673708724,1673708709,106.028
1673708724,1673708753,110.422
1673708724,6270809840,142.645
1673708724,1673708758,144.791
1673708726,1673708760,158.342
1673708726,1067748960,124.721
1673708726,1673708754,110.364
1673708726,1673708701,161.436
1673708729,1673708718,119.762
1673708729,1673708741,106.214
1673708729,1673708762,112.954
1673708729,1673708695,146.487
1673708732,1067748960,109.216
1673708732,1673708754,125.13399999999999
1673708734,1673708753,107.805
1673708736,1673708758,109.986
1673708736,1673708713,111.992
1673708736,1673621497,101.446
1673708736,1673708709,146.556
1673708738,3182706424,108.733
1673708738,1067748538,183.811
1673708738,1673708706,118.442
1673708738,1709206505,82.714
1673708741,1673708770,113.087
1673708741,6950098835,151.398
1673708741,1673708729,106.214
1673708741,1701116365,172.032
1673708744,1673708764,105.699
1673708753,1673708734,107.805
1673708753,1673708776,144.091
1673708753,1673708724,110.422
1673708753,1673708764,70.899
1673708754,1673708774,110.605
1673708754,1673708726,110.364
1673708754,1673708777,160.726
1673708754,1673708732,125.134
1673708756,1673708732,111.465
1673708756,1673708774,124.942
1673708758,1673708776,112.629
1673708758,1673708736,109.986
1673708758,1673708724,144.791
1673708758,1673708768,104.214
1673708760,1673708726,158.342
1673708760,1673708777,109.695
1673708760,1673708718,189.926
1673708760,1673708778,153.893
1673708762,1673708770,121.151
1673708762,1673708778,106.802
1673708762,1673708729,112.954
1673708764,1673708753,70.899
1673708764,1673708779,141.848
1673708764,1673708744,105.699
1673708766,1701116365,9.372
1673708766,1067748932,124.703
1673708768,1673708758,104.214
1673708768,1673708782,115.408
1673708770,1673708762,121.151
1673708770,1701116424,200.475
1673708770,1673708798,140.673
1673708770,1673708741,113.087
1673708774,1673708783,108.347
1673708774,1673708754,110.605
1673708774,1673708780,88.919
1673708774,1673708756,124.942
1673708775,1673708783,121.26
1673708775,1673708756,106.474
1673708776,1673708779,66.825
1673708776,1673708758,112.629
1673708776,1673708753,144.091
1673708776,1673708782,102.222
1673708777,1673708796,105.504
1673708777,1673708760,109.695
1673708777,1673708754,160.726
1673708777,1673708797,148.673
1673708778,1673708762,106.802
1673708778,1673708797,112.374
1673708778,1673708798,147.316
1673708778,1673708760,153.893
1673708779,1673708776,66.825
1673708779,1673621501,102.749
1673708779,1673708764,141.848
1673708780,1673708803,111.433
1673708780,6944371903,53.149
1673708780,1673708774,88.919
1673708782,1673708776,102.222
1673708782,1673621501,65.672
1673708783,1673708808,110.911
1673708783,1673708774,108.347
1673708783,1673708775,121.26
1673708783,1673708803,89.752
1673708785,1673708808,121.073
1673708785,1673708775,109.374
1673708795,1701116424,10.164
1673708795,1673708766,119.418
1673708795,1710049680,102.93
1673708796,1673708777,105.504
1673708796,3629224633,35.596
1673708796,6944371903,16.694
1673708797,1673708777,148.673
1673708797,1673708778,112.374
1673708797,6270809847,221.81599999999997
1673708797,3629224633,195.758
1673708798,1673708770,140.673
1673708798,1710049640,116.397
1673708798,1673708778,147.316
1673708801,1673708819,117.293
1673708801,1673708785,73.917
1673708801,1673621501,22.537
1673708803,1673708820,112.193
1673708803,1673708780,111.433
1673708803,1673708783,89.752
1673708803,1673708818,71.85
1673708808,1673708819,74.177
1673708808,1673708783,110.911
1673708808,1673708785,121.073
1673708808,1673708820,92.463
1673708818,1673708803,71.85
1673708818,1673708821,110.076
1673708818,3629224630,38.543
1673708819,1673708808,74.177
1673708819,1673708822,94.646
1673708819,1673708801,117.293
1673708820,1673708822,74.387
1673708820,1673708803,112.193
1673708820,1673708808,92.463
1673708820,1673708821,69.767
1673708821,3629224628,87.807
1673708821,1673708820,69.767
1673708821,1673708818,110.076
1673708821,1673708822,138.643
1673708822,1673708820,74.387
1673708822,1673708819,94.646
1673708822,1673708821,138.643
1683636978,2617828595,16.514
1683636978,2617828591,26.121000000000002
1683636985,1683637090,29.026999999999997
1683636987,4855679036,53.455
1683636987,4776995057,118.574
1683636996,1683636985,33.245999999999995
1683636996,1683637024,69.009
1683637012,1683637130,13.815
1683637012,1728469582,124.33099999999999
1683637013,1683637110,98.61999999999999
1683637013,1683637012,9.192
1683637016,1683637143,90.18
1683637016,4788959019,20.082
1683637016,1920873506,324.518
1683637024,2336115437,39.459
1683637024,1683637116,84.62299999999999
1683637024,1683636996,69.009
1683637028,2318492344,157.393
1683637028,2318492332,141.27100000000002
1683637058,1683637077,26.747
1683637065,4776995098,38.578
1683637065,1683637116,188.098
1683637067,1700892760,124.049
1683637067,1683637149,79.77499999999999
1683637067,4788959017,106.03399999999999
1683637077,1683637143,29.317
1683637077,5309481031,26.46
1683637084,1683637028,52.399
1683637084,1683637105,82.001
1683637088,2617828595,10.627
1683637088,2617828591,28.77
1683637090,1683637058,34.090999999999994
1683637090,1683637084,76.35
1683637092,1683636996,39.129
1683637092,1683636985,24.509
1683637094,1925415289,176.392
1683637099,1683637088,90.85400000000001
1683637099,1683637113,17.951
1683637105,2318492319,42.921
1683637110,1920873491,307.227
1683637110,1683637013,98.61999999999999
1683637110,1920873506,266.697
1683637113,1768622680,20.02
1683637113,1700892768,229.19
1683637116,1768618453,74.996
1683637116,1683637065,188.098
1683637130,1683637099,5.443
1683637143,1683637016,90.18
1683637143,5309481031,36.898
1683637147,1067748823,38.501
1683637149,1683637092,21.458000000000002
1683637149,1683637067,79.77499999999999
1683748004,1768618453,92.914
1683830550,1719837925,146.37
1683830550,1683830674,88.489
1683830674,1719837947,119.85
1683830674,1719760261,11.4
1683886506,1685324565,169.168
1683886512,1925415286,159.797
1683886512,1688014782,172.933
1683886512,655057586,93.53
1683886512,1683886527,88.574
1683886515,1728469490,26.849
1683886515,1685324581,74.307
1683886515,1728469631,223.857
1683886523,1683886563,90.812
1683886523,1925415284,232.257
1683886526,1683886506,41.181000000000004
1683886526,6948295894,114.963
1683886526,1688014757,207.486
1683886527,1683886512,88.574
1683886527,1683886572,81.836
1683886527,1925415284,157.501
1683886527,1688014771,179.47199999999998
1683886563,1688014757,25.965
1683886563,1925415286,214.108
1683886572,1683886527,81.836
1683886572,1685324555,94.262
1683886572,1728469490,176.973
1683886572,1925415294,160.975
1683886574,1925415293,137.235
1683886574,1685324555,90.43
1683886574,12057486094,169.704
1683886577,1684682937,144.285
1683886577,655057565,230.019
1683886577,1934377606,106.485
1684682899,1934395456,7.673
1684682899,1713309006,88.978
1684682903,1713218117,32.093
1684682903,1684682955,98.163
1684682910,1713304316,95.236
1684682914,1687960981,100.0
1684682914,8660528720,10.581
1684682914,1687960967,182.778
1684682924,1728469664,53.363
1684682924,1685324569,65.06
1684682928,1683886523,85.585
1684682928,1685324561,36.667
1684682934,8660528721,28.972
1684682934,1934377606,154.602
1684682934,1684682937,104.923
1684682937,8660528720,100.098
1684682937,1683886577,144.285
1684682937,1685344804,110.123
1684682937,1684682934,104.923
1684682939,1685344781,110.964
1684682939,1685344774,55.04
1684682950,1728469582,39.957
1684682950,1683637130,108.82
1684682955,1684682903,98.163
1684682955,1712747529,83.637
1684682955,1713191478,44.693
1685324555,1683886572,94.262
1685324555,1683886574,90.43
1685324555,1685324581,174.314
1685324555,1925415296,151.486
1685324559,1684682928,27.496
1685324559,1685324565,225.108
1685324561,1685324569,177.131
1685324561,1685324563,75.335
1685324561,1684682928,36.667
1685324563,1685324571,179.566
1685324563,1925415294,137.781
1685324563,1685324561,75.335
1685324565,1685324587,140.379
1685324565,1934377606,96.914
1685324565,1685324559,225.108
1685324569,1684682924,65.06
1685324569,1685324571,74.895
1685324569,1685324561,177.131
