Source,Target,Distancia,Peso_Source,Peso_Target
1673621014.0,6945912850.0,1504.094,10.0,1.0
1673621014.0,6948462876.0,6491.787999999999,10.0,2.0
1673621014.0,6948976937.0,1317.9260000000002,10.0,4.0
1673621014.0,6950023886.0,1704.035,10.0,1.0
1673621014.0,6950806723.0,4924.741999999998,10.0,2.0
1673621014.0,6950853769.0,1716.314,10.0,1.0
1673621014.0,6950857512.0,534.037,10.0,2.0
1673621014.0,7069614076.0,3128.4380000000006,10.0,1.0
1673621014.0,8518750867.0,3156.4800000000005,10.0,1.0
1673621014.0,8629532349.0,3976.8050000000007,10.0,1.0
1673621014.0,8720034349.0,8067.338000000001,10.0,1.0
1673621341.0,1673621519.0,2494.868,2.0,1.0
1673621341.0,1673707915.0,3082.7170000000006,2.0,1.0
1673621341.0,1673708145.0,1748.7010000000002,2.0,1.0
1673621341.0,1673708270.0,1634.796,2.0,1.0
1673621341.0,1673708443.0,1836.1849999999997,2.0,2.0
1673621341.0,1684682903.0,6972.5599999999995,2.0,1.0
1673621341.0,1685344795.0,4901.642,2.0,2.0
1673621341.0,1687996037.0,1792.788,2.0,1.0
1673621341.0,1700532493.0,7249.508,2.0,1.0
1673621341.0,1700543317.0,4043.3820000000005,2.0,1.0
1673621341.0,1701116404.0,3499.1069999999995,2.0,2.0
1673621341.0,1706580382.0,1912.3269999999998,2.0,1.0
1673621341.0,1710105237.0,3558.6659999999993,2.0,1.0
1673621341.0,1710115604.0,4671.213000000002,2.0,1.0
1673621341.0,1710134589.0,4911.276,2.0,2.0
